slope,borough_id,community_district
-0.00046674143005173783,1,3
-0.00018955887399311035,1,4
-0.00045778237220275164,1,5
-0.0006688964468881256,1,6
-0.0009084357857271692,1,7
-0.0015489009701979306,1,8
-0.00040711742708233204,1,9
-0.0003414799576470295,1,10
-0.00040717131034147844,1,11
-0.000793013286567444,1,12
-0.0005760871311773261,4,1
-0.000644708636374551,4,2
-0.0005211027650640624,4,3
-0.00035816963153081905,4,4
-0.0007299701885135741,4,5
-0.0005909133521819678,4,6
-0.0007142929823328227,4,7
-0.00044030618635783683,4,8
-0.0004161603298494528,4,9
-0.0003994978237575394,4,10
-0.0003333992585646076,4,11
-0.0006655620673636926,4,12
-0.0006320841574392541,4,13
-0.0005352259002162158,4,14
-0.0008704770370321896,5,1
-0.0006624887256848274,5,2
-0.001068761310432746,5,3
-0.0002028955975965947,2,1
-0.0003184759051547408,2,2
-0.00029242907756348073,2,3
-0.0005629613750031308,2,4
-0.0005765139006617766,2,5
-0.0005070451731702327,2,6
-0.0008097497352083274,2,7
-0.000878473625667641,2,8
-0.000789717966498788,2,9
-0.0008045181471152175,2,10
-0.0007971929218928737,2,11
-0.0006737457944582233,2,12
-0.0010875691917550806,3,1
-0.001067455101658118,3,2
-0.0004980305096984161,3,3
-0.00040565806687644604,3,4
-0.0004348108998944892,3,5
-0.0008553593516530474,3,6
-0.0004747185402375785,3,7
-0.0004893447497516142,3,8
-0.00023020631296880907,3,9
-0.0007871032237545912,3,10
-0.0006074736727333352,3,11
-0.00044150193998781535,3,12
-0.00030434865342495045,3,13
-0.0005121593749280341,3,14
-0.0005158177021641576,3,15
-0.00020375305177921098,3,16
-0.0004521903168340052,3,17
-0.0007044633214467112,3,18
-0.00041994768928386284,1,1
-0.0007115781248482496,1,2
